Country,MID,Weights,Rebills Attempts,Rebills SR%,Rebills Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
CA,218,0,7,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,0
CA,219,0,2,1.0,0.0,0,0,0,0,0,0,0,0,0
CA,220,0,6,0.0,0.0,0,0,0,0,0,0,0,0,0
CA,222,1,3,0.0,0.3333333333333333,0,1,0,0,0,0,0,0,0
CH,2,10,92,0.14130434782608695,0.6847826086956522,63,0,0,0,0,0,0,0,0
CH,3,10,113,0.168141592920354,0.6283185840707964,71,0,0,0,0,0,0,0,0
CH,4,10,86,0.2441860465116279,0.5813953488372093,46,0,0,4,0,0,0,0,0
CH,5,65,491,0.18737270875763748,0.5580448065173116,264,0,0,10,0,0,0,0,0
CH,6,40,314,0.10828025477707007,0.7484076433121019,230,0,0,5,0,0,1,0,0
CH,22,38,23,0.391304347826087,0.043478260869565216,0,0,1,0,0,0,0,0,0
CH,23,38,15,0.13333333333333333,0.0,0,0,0,0,0,0,0,0,0
CH,24,38,24,0.3333333333333333,0.25,5,0,1,0,0,0,7,0,0
CH,25,20,9,0.5555555555555556,0.0,0,0,0,0,0,0,0,0,0
CH,26,140,33,0.24242424242424243,0.45454545454545453,11,1,0,3,0,0,7,0,0
CH,52,250,1034,0.25918762088974856,0.32978723404255317,218,0,99,24,0,0,0,1,0
CH,53,100,1484,0.25673854447439354,0.40970350404312667,377,0,193,38,0,0,0,0,0
CH,54,150,1591,0.28472658705216847,0.3997485857950974,419,0,175,42,0,0,0,5,1
CH,55,200,1819,0.2638812534359538,0.3336998350742166,366,0,200,41,0,0,0,4,0
CH,56,200,1219,0.2797374897456932,0.347005742411813,269,0,121,33,0,0,0,2,0
CH,62,1,1077,0.1457753017641597,0.6638811513463324,369,0,330,16,0,0,0,0,0
CH,63,150,919,0.2132752992383025,0.5081610446137106,302,0,158,7,0,0,0,7,0
CH,64,10,1883,0.12267657992565056,0.6643653744025492,474,0,741,36,0,0,0,0,0
CH,65,200,1045,0.21818181818181817,0.49186602870813395,274,0,213,27,0,0,0,0,0
CH,66,1,24,0.2916666666666667,0.625,9,0,6,0,0,0,0,0,0
CH,83,40,728,0.18681318681318682,0.15247252747252749,14,78,0,19,0,0,0,0,0
CH,84,55,590,0.22033898305084745,0.25084745762711863,19,121,0,8,0,0,0,0,0
CH,85,20,682,0.1656891495601173,0.23020527859237536,15,128,0,14,0,0,0,0,0
CH,86,150,70,0.21428571428571427,0.35714285714285715,0,15,0,10,0,0,0,0,0
CH,87,93,300,0.21333333333333335,0.23333333333333334,7,55,0,8,0,1,0,0,0
CH,88,170,1118,0.16905187835420393,0.6395348837209303,212,0,476,27,0,0,0,0,0
CH,89,100,905,0.25082872928176797,0.481767955801105,294,0,123,19,0,0,0,0,0
CH,90,80,619,0.24717285945072698,0.47334410339256866,180,0,102,11,0,0,0,1,0
CH,91,1,97,0.17525773195876287,0.4948453608247423,42,0,3,3,0,0,0,0,0
CH,92,20,252,0.21031746031746032,0.5317460317460317,115,0,17,2,0,0,0,0,0
CH,98,1,117,0.3333333333333333,0.5299145299145299,11,15,34,2,0,0,1,0,0
CH,99,1,171,0.11695906432748537,0.6783625730994152,5,13,92,6,0,0,20,0,0
CH,100,400,110,0.4090909090909091,0.32727272727272727,8,5,17,6,0,0,2,0,0
CH,101,1,86,0.11627906976744186,0.5697674418604651,0,1,48,0,0,0,16,0,0
CH,102,1,59,0.22033898305084745,0.4576271186440678,1,2,24,0,0,0,4,0,0
CH,108,5,70,0.32857142857142857,0.11428571428571428,0,0,7,1,0,0,0,0,0
CH,109,1,173,0.1676300578034682,0.4393063583815029,6,5,65,0,0,0,0,0,0
CH,110,1,13,0.46153846153846156,0.0,0,0,0,0,0,0,2,0,0
CH,112,1,91,0.26373626373626374,0.10989010989010989,7,2,1,0,0,0,10,0,0
CH,218,50,192,0.421875,0.16145833333333334,0,29,0,2,0,0,0,0,0
CH,219,60,366,0.46174863387978143,0.12021857923497267,8,23,0,13,0,0,0,0,0
CH,220,50,276,0.2608695652173913,0.2608695652173913,0,65,0,7,0,0,0,0,0
CH,221,20,342,0.39766081871345027,0.11988304093567251,3,27,0,11,0,0,0,0,0
CH,222,20,153,0.22875816993464052,0.20261437908496732,0,30,0,1,0,1,0,0,0
ES,2,1,66,0.22727272727272727,0.696969696969697,40,0,0,4,2,0,0,0,0
ES,3,1,83,0.30120481927710846,0.6024096385542169,46,0,0,4,0,0,0,0,0
ES,4,100,338,0.1893491124260355,0.6449704142011834,182,0,0,33,3,0,3,0,0
ES,5,78,325,0.20307692307692307,0.6030769230769231,151,0,0,43,2,0,0,0,0
ES,6,0,21,0.14285714285714285,0.5714285714285714,10,0,0,2,0,0,0,0,0
ES,22,98,45,0.15555555555555556,0.4888888888888889,3,15,1,3,0,0,7,0,0
ES,23,38,19,0.2631578947368421,0.15789473684210525,0,1,0,2,0,0,0,0,0
ES,24,20,36,0.25,0.4722222222222222,10,6,1,0,0,0,0,0,0
ES,25,105,32,0.25,0.4375,1,8,1,4,0,0,7,0,0
ES,26,5,70,0.18571428571428572,0.6428571428571429,4,31,1,9,0,0,1,0,0
ES,52,1,41,0.2926829268292683,0.5609756097560976,13,0,8,2,0,0,0,0,0
ES,53,10,56,0.26785714285714285,0.3392857142857143,9,0,7,3,0,0,0,0,0
ES,54,10,61,0.3114754098360656,0.5409836065573771,16,0,2,15,0,0,0,1,0
ES,55,30,114,0.21929824561403508,0.5614035087719298,18,0,29,17,0,0,0,1,0
ES,56,10,62,0.27419354838709675,0.4838709677419355,5,0,16,9,0,0,0,0,0
ES,62,1,33,0.42424242424242425,0.30303030303030304,6,0,4,0,0,0,0,0,0
ES,63,10,65,0.18461538461538463,0.676923076923077,12,0,26,6,0,0,0,0,0
ES,64,30,189,0.15873015873015872,0.6031746031746031,28,0,56,30,0,0,0,0,0
ES,65,10,68,0.1323529411764706,0.7205882352941176,27,0,19,3,0,0,0,0,0
ES,66,1,19,0.5263157894736842,0.2631578947368421,3,0,0,2,0,0,0,1,0
ES,83,1,140,0.16428571428571428,0.37142857142857144,0,11,0,41,0,0,0,0,0
ES,84,1,30,0.36666666666666664,0.26666666666666666,0,2,0,6,0,0,0,0,0
ES,85,1,33,0.42424242424242425,0.030303030303030304,0,1,0,0,0,0,0,0,0
ES,86,1,17,0.35294117647058826,0.35294117647058826,0,6,0,0,0,0,0,0,0
ES,87,1,24,0.25,0.375,0,1,0,8,0,0,0,0,0
ES,88,1,34,0.23529411764705882,0.4411764705882353,4,0,11,0,0,0,0,0,0
ES,89,10,97,0.17525773195876287,0.5876288659793815,24,0,21,12,0,0,0,0,0
ES,90,1,25,0.28,0.6,0,0,14,1,0,0,0,0,0
ES,91,1,22,0.18181818181818182,0.5909090909090909,6,0,2,5,0,0,0,0,0
ES,92,10,48,0.3125,0.25,5,0,6,1,0,0,0,0,0
ES,98,38,19,0.3157894736842105,0.42105263157894735,0,4,2,2,0,0,3,0,0
ES,99,5,4,1.0,0.0,0,0,0,0,0,0,0,0,0
ES,100,10,7,0.14285714285714285,0.7142857142857143,0,5,0,0,0,0,0,0,0
ES,101,38,17,0.5294117647058824,0.29411764705882354,4,0,0,1,0,0,0,0,0
ES,102,5,7,0.42857142857142855,0.2857142857142857,0,1,0,1,0,0,0,0,0
ES,109,5,15,0.0,0.7333333333333333,0,5,0,6,0,0,1,0,0
ES,110,5,4,0.0,1.0,0,0,1,3,0,0,0,0,0
ES,111,5,20,0.15,0.55,0,5,0,6,0,0,1,0,0
ES,112,5,5,0.2,0.2,0,0,0,1,0,0,1,0,0
ES,218,1,67,0.2537313432835821,0.29850746268656714,0,0,0,20,0,0,0,0,0
ES,219,150,110,0.15454545454545454,0.4727272727272727,0,11,0,41,0,0,0,0,0
ES,220,1,52,0.11538461538461539,0.1346153846153846,0,6,0,1,0,0,0,0,0
