Country,MID,Weights,Rebills Attempts,Rebills SR%,Rebills Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
LT,88,1,23,0.043478260869565216,0.7391304347826086,16,0,1,0,0,0,0,0,0
LT,89,1,9,0.4444444444444444,0.0,0,0,0,0,0,0,0,0,0
LT,90,1,64,0.171875,0.53125,34,0,0,0,0,0,0,0,0
LT,91,1,17,0.17647058823529413,0.7058823529411765,7,0,5,0,0,0,0,0,0
LT,92,10,14,0.21428571428571427,0.7857142857142857,10,1,0,0,0,0,0,0,0
LT,98,38,3,1.0,0.0,0,0,0,0,0,0,0,0,0
LT,101,38,5,0.0,0.0,0,0,0,0,0,0,0,0,0
LT,102,38,2,0.0,0.0,0,0,0,0,0,0,0,0,0
LT,109,5,12,0.16666666666666666,0.4166666666666667,0,4,1,0,0,0,1,0,0
LT,110,5,11,0.09090909090909091,0.45454545454545453,0,5,0,0,0,0,1,0,0
LT,111,5,7,0.2857142857142857,0.0,0,0,0,0,0,0,0,0,0
LT,112,5,12,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0
LT,218,5,62,0.24193548387096775,0.08064516129032258,1,4,0,0,0,0,0,0,0
LT,219,1,74,0.14864864864864866,0.0,0,0,0,0,0,0,0,0,0
LT,220,1,65,0.2,0.12307692307692308,0,8,0,0,0,0,0,0,0
LT,221,1,110,0.35454545454545455,0.05454545454545454,2,4,0,0,0,0,0,0,0
LT,222,1,18,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,0
