Country,MID,Weights,Initial Attempts,Initials SR%,Initials Negative Rate%,do_not_honor,psp_risk_block,psp_risk_block_recoverable,card_limit_exceeded,mid_config_error,connector_error,code_not_mapped,request_invalid,3d_error
CA,88.0,1.0,90.0,0.15555555555555556,0.6444444444444445,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CA,89.0,10.0,21.0,0.23809523809523808,0.6190476190476191,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,90.0,10.0,35.0,0.3142857142857143,0.6285714285714286,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,98.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,99.0,38.0,9.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,100.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,101.0,38.0,7.0,0.14285714285714285,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CA,102.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,109.0,5.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CA,110.0,5.0,4.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CA,111.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CA,112.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,218.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,220.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,221.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,222.0,1.0,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
CH,22.0,38.0,13.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
CH,23.0,38.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,24.0,38.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
CH,25.0,20.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CH,26.0,140.0,20.0,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0
CH,52.0,250.0,438.0,0.5068493150684932,0.3242009132420091,33.0,0.0,107.0,2.0,0.0,0.0,0.0,0.0,55.0
CH,53.0,100.0,663.0,0.4358974358974359,0.39819004524886875,46.0,0.0,217.0,1.0,0.0,0.0,0.0,0.0,63.0
CH,54.0,150.0,804.0,0.44776119402985076,0.36069651741293535,67.0,0.0,222.0,1.0,0.0,0.0,0.0,0.0,97.0
CH,55.0,200.0,1076.0,0.4516728624535316,0.36152416356877326,78.0,0.0,305.0,6.0,0.0,0.0,0.0,0.0,141.0
CH,56.0,200.0,1094.0,0.44424131627056673,0.3491773308957952,80.0,0.0,301.0,1.0,0.0,0.0,0.0,1.0,157.0
CH,62.0,1.0,27.0,0.48148148148148145,0.25925925925925924,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0
CH,63.0,150.0,342.0,0.45321637426900585,0.32748538011695905,22.0,0.0,88.0,2.0,0.0,0.0,0.0,1.0,45.0
CH,64.0,10.0,230.0,0.5652173913043478,0.1565217391304348,15.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,23.0
CH,65.0,200.0,596.0,0.4563758389261745,0.30201342281879195,31.0,0.0,147.0,2.0,0.0,0.0,0.0,0.0,85.0
CH,83.0,40.0,275.0,0.3418181818181818,0.3090909090909091,4.0,78.0,0.0,3.0,0.0,0.0,2.0,15.0,14.0
CH,84.0,55.0,513.0,0.253411306042885,0.3060428849902534,4.0,151.0,0.0,2.0,0.0,0.0,13.0,39.0,23.0
CH,85.0,20.0,387.0,0.25064599483204136,0.29457364341085274,5.0,106.0,0.0,3.0,0.0,0.0,3.0,22.0,25.0
CH,88.0,170.0,613.0,0.5073409461663948,0.24306688417618272,50.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,83.0
CH,89.0,100.0,724.0,0.4116022099447514,0.3356353591160221,55.0,0.0,186.0,2.0,0.0,0.0,0.0,0.0,107.0
CH,90.0,80.0,365.0,0.4,0.3315068493150685,37.0,0.0,83.0,1.0,0.0,0.0,0.0,0.0,70.0
CH,98.0,1.0,55.0,0.36363636363636365,0.2,1.0,0.0,9.0,1.0,0.0,0.0,10.0,0.0,9.0
CH,99.0,1.0,58.0,0.15517241379310345,0.43103448275862066,1.0,0.0,24.0,0.0,0.0,0.0,16.0,0.0,5.0
CH,100.0,400.0,41.0,0.6097560975609756,0.04878048780487805,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,6.0
CH,101.0,1.0,68.0,0.10294117647058823,0.5147058823529411,0.0,1.0,34.0,0.0,0.0,0.0,7.0,0.0,8.0
CH,102.0,1.0,40.0,0.125,0.6,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,4.0
CH,109.0,1.0,138.0,0.2028985507246377,0.5507246376811594,0.0,0.0,76.0,0.0,0.0,0.0,14.0,0.0,12.0
CH,110.0,1.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
CH,111.0,1.0,63.0,0.0,0.6507936507936508,0.0,0.0,0.0,0.0,41.0,0.0,17.0,0.0,3.0
CH,112.0,1.0,77.0,0.2077922077922078,0.4805194805194805,1.0,0.0,36.0,0.0,0.0,0.0,10.0,0.0,8.0
CH,218.0,50.0,128.0,0.328125,0.2265625,0.0,29.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0
CH,219.0,60.0,225.0,0.3377777777777778,0.19555555555555557,0.0,41.0,0.0,3.0,0.0,0.0,1.0,8.0,12.0
CH,220.0,50.0,326.0,0.32515337423312884,0.20552147239263804,0.0,63.0,0.0,4.0,0.0,0.0,9.0,13.0,16.0
CH,221.0,20.0,265.0,0.3433962264150943,0.20754716981132076,1.0,54.0,0.0,0.0,0.0,0.0,7.0,15.0,10.0
CH,222.0,20.0,239.0,0.3472803347280335,0.2301255230125523,7.0,46.0,0.0,2.0,0.0,0.0,2.0,16.0,6.0
ES,22.0,98.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,25.0,105.0,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ES,52.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ES,53.0,10.0,6.0,0.8333333333333334,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,54.0,10.0,12.0,0.5,0.16666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ES,55.0,30.0,22.0,0.2727272727272727,0.3181818181818182,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ES,56.0,10.0,9.0,0.4444444444444444,0.3333333333333333,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ES,63.0,10.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ES,64.0,30.0,24.0,0.2916666666666667,0.375,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0
ES,65.0,10.0,10.0,0.5,0.4,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,83.0,1.0,25.0,0.52,0.12,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
ES,84.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ES,85.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,88.0,1.0,4.0,0.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,89.0,10.0,5.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ES,90.0,1.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ES,98.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ES,99.0,5.0,3.0,0.0,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
ES,101.0,38.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,109.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,110.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,111.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,112.0,5.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ES,218.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ES,219.0,150.0,94.0,0.4148936170212766,0.0851063829787234,6.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,9.0
ES,220.0,1.0,24.0,0.375,0.041666666666666664,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0
ES,221.0,250.0,244.0,0.6065573770491803,0.10655737704918032,3.0,16.0,0.0,7.0,0.0,0.0,2.0,22.0,11.0
ES,222.0,5.0,19.0,0.3157894736842105,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
FR,22.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,23.0,59.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,24.0,20.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FR,25.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FR,52.0,150.0,122.0,0.47540983606557374,0.2540983606557377,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0
FR,53.0,100.0,139.0,0.5323741007194245,0.2733812949640288,30.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,24.0
FR,54.0,150.0,104.0,0.5096153846153846,0.2403846153846154,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0
FR,55.0,10.0,77.0,0.5064935064935064,0.22077922077922077,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0
FR,56.0,1.0,80.0,0.425,0.275,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0
FR,62.0,1.0,85.0,0.49411764705882355,0.25882352941176473,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0
FR,63.0,37.0,32.0,0.5,0.3125,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
FR,65.0,200.0,101.0,0.5148514851485149,0.19801980198019803,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0
FR,83.0,31.0,42.0,0.38095238095238093,0.21428571428571427,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
FR,84.0,0.0,34.0,0.5588235294117647,0.058823529411764705,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
FR,88.0,1.0,73.0,0.4383561643835616,0.3150684931506849,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0
FR,89.0,1.0,26.0,0.46153846153846156,0.3076923076923077,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0
FR,98.0,38.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FR,99.0,50.0,7.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
FR,100.0,38.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
FR,101.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
